fine_amount,penalty_amount,interest_amount,payment_amount,amount_due,total_charges,net_paid,unpaid_balance_ratio,issue_year,issue_month,issue_day,issue_dayofweek,issue_quarter,is_weekend,county_encoded,issuing_agency_encoded,violation_status_encoded,license_type_encoded,cluster
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2024,11,12,1,4,0,5,7,6,5,2
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,6,3,1,0,4,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,6,3,1,0,3,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,6,3,1,0,3,1,6,8,0
115.0,0.0,0.0,115.0,0.0,115.0,115.0,0.0,2025,4,12,5,2,1,3,0,6,8,1
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,6,3,1,0,3,1,6,8,0
50.0,25.0,0.0,75.0,0.0,75.0,75.0,0.0,2025,3,22,5,1,1,0,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,11,18,1,4,0,3,1,6,8,2
115.0,10.0,0.0,125.0,0.0,125.0,125.0,0.0,2024,4,18,3,2,0,1,5,6,8,1
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,9,19,4,3,0,1,1,6,8,2
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,9,24,2,3,0,3,1,6,8,2
59.94399185336049,4.760692464358452,1.0263034623217924,63.7833401221996,0.1069246435845213,65.73098778004073,61.94261710794298,0.0016267006962124,2023,3,27,0,1,0,5,8,6,8,2
59.94399185336049,4.760692464358452,1.0263034623217924,63.7833401221996,0.1069246435845213,65.73098778004073,61.94261710794298,0.0016267006962124,2023,3,27,0,1,0,5,8,6,8,2
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,22,5,1,1,1,1,6,8,0
