fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,issue_year,issue_month,issue_day,issue_dayofweek,issue_quarter,is_weekend,total_charges,net_paid,unpaid_balance_ratio,high_fine_flag,county_encoded,state_encoded,license_type_encoded,issuing_agency_encoded,violation_status_encoded
65.0,60.0,18.129699999999982,0.19,167.3,0.0,2021,9,16,3,3,0,143.12969999999999,167.11,0.0,1,1,17,8,6,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,9,19,4,3,0,50.0,50.0,0.0,0,0,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,9,19,4,3,0,50.0,50.0,0.0,0,0,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,9,24,2,3,0,50.0,50.0,0.0,0,0,17,8,1,6
50.0,25.0,1.24,0.06,76.18,0.0,2025,1,14,1,1,0,76.24,76.12,0.0,0,0,16,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,9,19,4,3,0,50.0,50.0,0.0,0,4,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,9,19,4,3,0,50.0,50.0,0.0,0,3,17,6,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,9,24,2,3,0,50.0,50.0,0.0,0,0,17,1,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,11,1,1,0,50.0,50.0,0.0,0,0,16,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,6,3,1,0,50.0,50.0,0.0,0,3,16,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2024,11,12,1,4,0,50.0,50.0,0.0,0,5,17,8,7,6
50.0,0.0,0.0,0.0,50.0,0.0,2024,11,12,1,4,0,50.0,50.0,0.0,0,3,17,8,7,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,11,1,1,0,50.0,50.0,0.0,0,3,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,11,1,1,0,50.0,50.0,0.0,0,1,17,11,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,6,3,1,0,50.0,50.0,0.0,0,3,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,6,3,1,0,50.0,50.0,0.0,0,1,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,11,1,1,0,50.0,50.0,0.0,0,1,16,8,1,6
65.0,0.0,0.0,0.0,65.0,0.0,2025,4,15,1,2,0,65.0,65.0,0.0,1,3,24,8,0,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,6,3,1,0,50.0,50.0,0.0,0,3,17,1,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,6,3,1,0,50.0,50.0,0.0,0,3,16,8,1,6
65.0,60.0,2.83,0.0,127.83,0.0,2023,5,9,1,2,0,127.83,127.83,0.0,1,1,16,8,0,3
50.0,25.0,0.0,0.0,75.0,0.0,2025,3,11,1,1,0,75.0,75.0,0.0,0,3,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,10,10,4,4,0,50.0,50.0,0.0,0,0,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,9,24,2,3,0,50.0,50.0,0.0,0,0,17,1,1,6
59.94399185336049,4.760692464358452,1.0263034623217924,1.8407230142566193,63.7833401221996,0.10692464358452139,2023,3,27,0,1,0,65.73098778004073,61.94261710794298,0.0016267006962124057,1,5,1,8,8,6
59.94399185336049,4.760692464358452,1.0263034623217924,1.8407230142566193,63.7833401221996,0.10692464358452139,2023,3,27,0,1,0,65.73098778004073,61.94261710794298,0.0016267006962124057,1,5,7,8,8,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,10,10,4,4,0,50.0,50.0,0.0,0,4,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,22,5,1,1,50.0,50.0,0.0,0,3,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2024,11,12,1,4,0,50.0,50.0,0.0,0,5,17,8,7,6
50.0,25.0,0.0,0.0,75.0,0.0,2025,3,6,3,1,0,75.0,75.0,0.0,0,0,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,10,10,4,4,0,50.0,50.0,0.0,0,2,16,8,1,6
50.0,25.0,18.11,0.13,92.98,0.0,2022,5,19,3,2,0,93.11,92.85000000000001,0.0,0,0,19,8,1,6
50.0,25.0,17.48,0.02,92.46,0.0,2022,5,26,3,2,0,92.48,92.44,0.0,0,1,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,11,1,1,0,50.0,50.0,0.0,0,1,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,6,3,1,0,50.0,50.0,0.0,0,2,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,11,1,1,0,50.0,50.0,0.0,0,4,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,10,10,4,4,0,50.0,50.0,0.0,0,3,17,8,1,6
115.0,60.0,1.72,0.0,176.72,0.0,2025,5,20,1,2,0,176.72,176.72,0.0,1,0,17,8,5,3
50.0,0.0,0.0,0.0,50.0,0.0,2025,11,18,1,4,0,50.0,50.0,0.0,0,3,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,6,3,1,0,50.0,50.0,0.0,0,3,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,11,1,1,0,50.0,50.0,0.0,0,3,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,9,19,4,3,0,50.0,50.0,0.0,0,3,17,8,1,6
65.0,10.0,0.0,10.0,65.0,0.0,2025,4,9,2,2,0,75.0,55.0,0.0,1,2,16,8,6,6
65.0,0.0,0.0,0.0,65.0,0.0,2025,4,10,3,2,0,65.0,65.0,0.0,1,2,17,8,6,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,9,19,4,3,0,50.0,50.0,0.0,0,1,16,8,1,6
65.0,0.0,0.0,0.0,65.0,0.0,2025,4,15,1,2,0,65.0,65.0,0.0,1,2,16,8,0,6
65.0,0.0,0.0,0.0,65.0,0.0,2025,4,11,4,2,0,65.0,65.0,0.0,1,1,17,8,0,6
65.0,0.0,0.0,0.0,65.0,0.0,2025,4,15,1,2,0,65.0,65.0,0.0,1,2,16,8,0,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,6,3,1,0,50.0,50.0,0.0,0,1,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,6,3,1,0,50.0,50.0,0.0,0,3,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,11,4,1,4,0,50.0,50.0,0.0,0,1,17,8,7,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,6,3,1,0,50.0,50.0,0.0,0,3,17,8,1,6
65.0,0.0,0.0,0.0,65.0,0.0,2025,4,14,0,2,0,65.0,65.0,0.0,1,2,17,8,6,6
50.0,0.0,0.0,0.0,50.0,0.0,2024,11,12,1,4,0,50.0,50.0,0.0,0,5,17,8,7,6
50.0,0.0,0.0,0.0,50.0,0.0,2024,11,12,1,4,0,50.0,50.0,0.0,0,1,17,8,7,6
50.0,0.0,0.0,0.0,50.0,0.0,2024,11,12,1,4,0,50.0,50.0,0.0,0,5,17,8,7,6
50.0,25.0,0.0,0.0,75.0,0.0,2025,9,23,1,3,0,75.0,75.0,0.0,0,3,17,8,1,6
65.0,0.0,0.0,15.0,50.0,0.0,2025,3,26,2,1,0,65.0,35.0,0.0,1,2,17,1,6,4
50.0,25.0,0.0,0.0,75.0,0.0,2025,2,23,6,1,1,75.0,75.0,0.0,0,3,17,8,1,6
50.0,25.0,17.48,0.02,92.46,0.0,2022,5,26,3,2,0,92.48,92.44,0.0,0,1,17,8,1,6
50.0,25.0,17.35,0.02,92.33,0.0,2022,6,2,3,2,0,92.35,92.31,0.0,0,3,17,8,1,6
50.0,25.0,12.48,0.06,87.42,0.0,2022,6,1,2,2,0,87.48,87.36,0.0,0,3,6,8,1,6
