Feature,Importance
net_paid,0.12400752936312273
reduction_amount,0.11390935901356493
issue_day,0.10487391349504199
license_type_encoded,0.07768724615064034
county_encoded,0.076197799042851
payment_amount,0.07391257788970414
state_encoded,0.05744113719162581
issue_month,0.054021909747809925
issue_year,0.0525245083880973
issue_dayofweek,0.05206487741090685
issuing_agency_encoded,0.0456979187010898
total_charges,0.04476835879955581
penalty_amount,0.0301249109116438
issue_quarter,0.029703258850490504
fine_amount,0.02621100225740107
interest_amount,0.020156436973010394
high_fine_flag,0.007715196338652069
is_weekend,0.006589756357035387
unpaid_balance_ratio,0.0014430680724648265
amount_due,0.000949235045291229
